smiles,freesolv
CCCCBr,-0.4
c1cc(c(cc1O)Cl)Cl,-7.29
C1CCC(CC1)N,-4.59
c1c(=O)[nH]c(=O)[nH]c1Cl,-15.83
CCC(C)C,2.38
CCOP(=O)(OCC)OCC,-7.5
Cc1ccc(cc1)N,-5.57
c1cc(c(c(c1)Cl)C#N)Cl,-4.71
c1cc(cc(c1)O)[N+](=O)[O-],-9.62
CCCCCI,-0.14
C(CCCl)CCl,-2.32
C(F)(F)(F)Br,1.79
C(F)(F)(F)F,3.12
CC(=CCC/C(=C/CO)/C)C,-4.45
c1cc(cc(c1)Cl)Cl,-0.98
CN(C)C,-3.2
CCCCC/C=C/C=O,-3.43
CC(C)OC(=O)C,-2.64
C=C(c1ccccc1)c2ccccc2,-2.78
[C@@H](C(F)(F)F)(OC(F)F)Cl,0.1
Cc1cc(ccc1Cl)O,-6.79
CC(C)CC(=O)C,-3.05
C(CO[N+](=O)[O-])CO[N+](=O)[O-],-4.8
CCCCCCCC(=O)C,-2.49
c1ccncc1,-4.69
Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C,-9.41
COc1c(cc(c(c1O)OC)Cl)Cl,-6.44
Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl,-11.14
CN1CCOCC1,-6.32
C1CCNC1,-5.48
Cc1ccc2cc(ccc2c1)C,-2.63
CCCSCCC,-1.28
Cn1ccnc1,-8.41
CCCCCOC(=O)C,-2.51
CCCCCCC=C,1.92
c1ccc(c(c1)C(F)(F)F)C(F)(F)F,1.07
c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.81
c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,-3.61
C[N+](=O)[O-],-4.02
CC(=O)OCC(COC(=O)C)OC(=O)C,-8.84
C[C@@H](CCl)Cl,-1.27
C(F)Cl,-0.77
C(Cl)(Cl)Cl,-1.08
CCCCCC=O,-2.81
c1cc(ccc1[N+](=O)[O-])O,-10.64
CCC=O,-3.43
c1cc(ccc1N)N(=O)=O,-9.82
C1CCC(CC1)O,-5.46
Cc1ccc(c(c1)OC)O,-5.8
CCOC(=O)C[C@H](C(=O)OCC)SP(=S)(OC)OC,-8.15
C(C(CO)O)O,-13.43
CCCCCCCO,-4.21
c1ccc(c(c1)C=O)O,-4.68
CCCCCCBr,0.18
CC(=O)Oc1ccccc1C(=O)O,-9.94
C(CBr)Br,-2.33
Cc1ccc(c(c1)C)C,-0.86
C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-9.01
C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],-4.95
CCI,-0.74
Cc1cc(cc(c1)O)C,-6.27
CO,-5.1
CCCC(=O)OC,-2.83
C[C@H](C(F)(F)F)O,-4.2
CCCCS,-0.99
C(Cl)Cl,-1.31
Cc1cccc2c1cccc2,-2.44
CCCCC(=O)O,-6.16
COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,-8.68
c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.71
CCl,-0.55
CCCCCCc1ccccc1,-0.04
CCNc1nc(nc(n1)Cl)NCC,-10.22
c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl,-3.37
Cn1cnc2c1c(=O)n(c(=O)n2C)C,-12.64
c1cnccc1C=O,-7.0
C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O,-8.42
CC[C@H](C)c1ccccc1,-0.45
CCCC=O,-3.18
CS(=O)C,-9.28
CCCCN(CC)C(=O)SCCC,-3.64
CCc1ccncc1,-4.73
CCCCCCCl,0.0
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-25.47
CCCCCCC#C,0.71
CCCOC(=O)c1ccc(cc1)O,-9.37
CCCCCCO[N+](=O)[O-],-1.66
c1cc(cc(c1)[N+](=O)[O-])N,-8.84
CC(=O)C1CCCCC1,-3.9
CC(=O)c1cccnc1,-8.26
CCOC(C)OCC,-3.28
c1ccc(cc1)CBr,-2.38
COC(=O)C1CC1,-4.1
c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.17
C1CCOC1,-3.47
CCCN(CCC)C(=O)SCCC,-4.13
COc1cc(c(c(c1O)OC)Cl)C=O,-7.78
Cn1cccc1,-2.89
CCCCN,-4.24
CC(=O)C1CC1,-4.61
C(Cl)(Cl)(Cl)Cl,0.08
CCCC(=O)OCCC,-2.28
C1CCC(=O)C1,-4.7
Cc1c[nH]c2c1cccc2,-5.88
CC1CCCC1,1.59
CCc1ccccc1O,-5.66
COC(=O)c1ccc(cc1)O,-9.51
c1ccc2cc(ccc2c1)N,-7.47
C=O,-2.75
c1ccc(cc1)c2ccccc2Cl,-2.69
c1ccc(cc1)CCCO,-6.92
CCOC(=O)c1ccccc1,-3.64
CCCCCC(=O)OCC,-2.23
c1cc(ccc1C#N)O,-10.17
COc1ccccc1OC,-5.33
CC(C)C(C)C(C)C,2.56
CCCCC=O,-3.03
CNC,-4.29
[C@@H](C(F)(F)F)(Cl)Br,-0.11
CCO,-5.0
c1ccc(c(c1)N)Cl,-4.91
CC[C@@H](C)C(C)C,2.52
c1ccc2c(c1)CCC2,-1.46
C1CCCC(CC1)O,-5.48
CCCc1ccccc1,-0.53
CCC[C@H](C)CC,2.71
CCCCCc1ccccc1,-0.23
CC(C)(C)C,2.51
c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04
c1ccc(c(c1)O)Cl,-4.55
c1ccc(cc1)Cn2ccnc2,-7.63
c1ccc(cc1)F,-0.8
CCS,-1.14
c1ccc2c(c1)cccc2O,-7.67
Cc1cccc(c1)[N+](=O)[O-],-3.45
CCCCCC,2.48
CCCCCCC,2.67
C(C(F)(F)F)Cl,0.06
COC(=O)c1ccc(cc1)[N+](=O)[O-],-6.88
COc1cccc(c1)O,-7.66
COC,-1.91
CC(C)CCOC(=O)C,-2.21
CCCC=C,1.68
C1CNCCN1,-7.4
