,smiles,freesolv,processed_smiles
0,CN(C)C(=O)c1ccc(cc1)OC,-11.01,C N ( C ) C ( = O ) c 1 c c c ( c c 1 ) O C
1,CS(=O)(=O)Cl,-4.87,C S ( = O ) ( = O ) Cl
2,CC(C)C=C,1.83,C C ( C ) C = C
3,CCc1cnccn1,-5.45,C C c 1 c n c c n 1
4,CCCCCCCO,-4.21,C C C C C C C O
5,Cc1cc(cc(c1)O)C,-6.27,C c 1 c c ( c c ( c 1 ) O ) C
6,CC(C)C(C)C,2.34,C C ( C ) C ( C ) C
7,CCCC(C)(C)O,-3.92,C C C C ( C ) ( C ) O
8,C[C@@H]1CCCC[C@@H]1C,1.58,C [ C @ @ H ] 1 C C C C [ C @ @ H ] 1 C
9,CC[C@H](C)O,-4.62,C C [ C @ H ] ( C ) O
10,C(Br)Br,-1.96,C ( Br ) Br
11,CC[C@H](C(C)C)O,-3.88,C C [ C @ H ] ( C ( C ) C ) O
12,CCc1ccccn1,-4.33,C C c 1 c c c c n 1
13,CCCCC(=O)OCC,-2.49,C C C C C ( = O ) O C C
14,c1ccc(cc1)S,-2.55,c 1 c c c ( c c 1 ) S
15,CC(=CCC/C(=C\CO)/C)C,-4.78,C C ( = C C C / C ( = C \ C O ) / C ) C
16,c1ccc2c(c1)CCC2,-1.46,c 1 c c c 2 c ( c 1 ) C C C 2
17,CCOc1ccccc1,-2.22,C C O c 1 c c c c c 1
18,c1cc(ccc1O)Br,-5.85,c 1 c c ( c c c 1 O ) Br
19,CCCC(C)(C)C,2.88,C C C C ( C ) ( C ) C
20,CC(=O)OCCOC(=O)C,-6.34,C C ( = O ) O C C O C ( = O ) C
21,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1,C C O P ( = S ) ( O C C ) S C S P ( = S ) ( O C C ) O C C
22,C1CCCC(CC1)O,-5.48,C 1 C C C C ( C C 1 ) O
23,COC(=O)C1CC1,-4.1,C O C ( = O ) C 1 C C 1
24,c1ccc(cc1)C#N,-4.1,c 1 c c c ( c c 1 ) C # N
25,CCCCC#N,-3.52,C C C C C # N
26,CC(C)(C)O,-4.47,C C ( C ) ( C ) O
27,CC(C)C(=O)C(C)C,-2.74,C C ( C ) C ( = O ) C ( C ) C
28,CCC=O,-3.43,C C C = O
29,CN(C)C=O,-7.81,C N ( C ) C = O
30,Cc1ccc(cc1)C,-0.8,C c 1 c c c ( c c 1 ) C
31,C=CCC=C,0.93,C = C C C = C
32,Cc1cccc(c1C)Nc2ccccc2C(=O)O,-6.78,C c 1 c c c c ( c 1 C ) N c 2 c c c c c 2 C ( = O ) O
33,CN(C)C(=O)c1ccccc1,-9.29,C N ( C ) C ( = O ) c 1 c c c c c 1
